"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
5,205,55.13,,Anna RYZHYKOVA,24 NOV 1989,UKR,4h3,"Stade de France, Paris (FRA)",04 AUG 2024,1169
6,207,55.15,,Alanah YUKICH,27 JAN 1998,AUS,2,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1168
7,208,55.16,,Louise MARAVAL,31 JUL 2001,FRA,7,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1168
8,209,55.18,,Yasmin GIGER,06 NOV 1999,SUI,53,"Stade de France, Paris (FRA)",05 AUG 2024,1167
9,210,55.2,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,3,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1166
10,210,55.2,,Ayomide FOLORUNSO,17 OCT 1996,ITA,5,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1166
11,210,55.2,,Cathelijn PEETERS,06 NOV 1996,NED,7sf1,"Stade de France, Paris (FRA)",06 AUG 2024,1166
12,213,55.23,,Paulien COUCKUYT,19 MAY 1997,BEL,2,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1166
13,214,55.24,,Paulien COUCKUYT,19 MAY 1997,BEL,4sf3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1165
14,214,55.24,,Cathelijn PEETERS,06 NOV 1996,NED,1,"FBK Stadium, Hengelo (NED)",29 JUN 2024,1165
15,216,55.25,,Savannah SUTHERLAND,07 AUG 2003,CAN,1sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1165
16,216,55.25,,Eileen DEMES,13 OCT 1997,GER,1h2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1165
17,216,55.25,,Noura ENNADI,05 APR 1999,MAR,1f1,"Sollentunavallen, Sollentuna (SWE)",16 JUN 2024,1165
18,216,55.25,,Lina NIELSEN,13 MAR 1996,GBR,2,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1165
19,220,55.26,,Sydni TOWNSEND,17 MAR 2000,USA,3sf2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1165
20,220,55.26,,Noura ENNADI,05 APR 1999,MAR,2h5,"Stade de France, Paris (FRA)",04 AUG 2024,1165
21,220,55.26,,Ayomide FOLORUNSO,17 OCT 1996,ITA,5,"Letzigrund, Zürich (SUI)",05 SEP 2024,1165
22,220,55.26,,Shamier LITTLE,20 MAR 1995,USA,4,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1165
23,224,55.27,,Yasmin GIGER,06 NOV 1999,SUI,1h4,"Stadion Deutweg, Winterthur (SUI)",28 JUN 2024,1164
24,224,55.27,,Eileen DEMES,13 OCT 1997,GER,3,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1164
25,226,55.28,,Zenéy GELDENHUYS,22 MAY 2000,RSA,4,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1164
26,226,55.28,,Jiadie MO,06 JAN 2000,CHN,1,"Kuishan Sports Center, Rizhao (CHN)",29 JUN 2024,1164
27,228,55.29,,Line KLOSTER,27 FEB 1990,NOR,6,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1164
28,229,55.3,,Shana GREBO,09 NOV 2000,FRA,6,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1163
29,229,55.3,,Alanah YUKICH,27 JAN 1998,AUS,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1163
30,231,55.31,,Abbey GLYNN,30 APR 2001,USA,2,"Potts Field, Boulder, CO (USA)",12 MAY 2024,1163
31,231,55.31,,Yasmin GIGER,06 NOV 1999,SUI,4f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1163
32,231,55.31,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,42,"Stade de France, Paris (FRA)",05 AUG 2024,1163
33,234,55.32,,Louise MARAVAL,31 JUL 2001,FRA,3h5,"Stade de France, Paris (FRA)",04 AUG 2024,1163
34,235,55.33,,Andrenette KNIGHT,19 NOV 1996,JAM,4,"National Stadium, Kingston (JAM)",11 MAY 2024,1162
35,235,55.33,,Fatoumata Binta DIALLO,06 APR 2000,POR,1f2,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1162
36,235,55.33,,Gabrielle MATTHEWS,14 OCT 2002,JAM,7,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1162
37,235,55.33,,Yasmin GIGER,06 NOV 1999,SUI,2h3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1162
38,235,55.33,,Alanah YUKICH,27 JAN 1998,AUS,1,"The Bahamas National Stadium, Nassau (BAH)",16 JUN 2024,1162
39,235,55.33,,Rebecca SARTORI,22 MAY 1997,ITA,2,"Campo Montagna, La Spezia (ITA)",30 JUN 2024,1162
40,241,55.34,,Akala GARRETT,10 MAY 2005,USA,3sf3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1162
41,242,55.35,,Sára MÁTÓ,23 DEC 2000,HUN,7sf2,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1162
42,243,55.36,,Savannah SUTHERLAND,07 AUG 2003,CAN,1f1,"Franklin Field, Philadelphia, PA (USA)",25 APR 2024,1161
43,243,55.36,,Hanne CLAES,04 AUG 1991,BEL,6sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1161
44,243,55.36,,Jessie KNIGHT,15 JUN 1994,GBR,2,"Manchester Regional Arena, Manchester (GBR)",30 JUN 2024,1161
45,246,55.37,,Sarah CARLI,05 SEP 1994,AUS,1,"AIS Athletics Track, Canberra (AUS)",02 MAR 2024,1161
46,246,55.37,,Cassandra TATE,11 SEP 1990,USA,8,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1161
47,246,55.37,,Emiliya TANGARA,12 MAR 2002,RUS,1f2,"Znamenskikh Stadion, Moskva (RUS)",04 AUG 2024,1161
48,246,55.37,,Ayomide FOLORUNSO,17 OCT 1996,ITA,5,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1161
49,250,55.38,,Linda OLIVIERI,14 JUL 1998,ITA,2,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1161
50,250,55.38,,Deonca BOOKMAN,29 OCT 1995,USA,1,"Alumni Field, Windsor (CAN)",02 JUN 2024,1161
51,250,55.38,,Line KLOSTER,27 FEB 1990,NOR,3,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1161
52,250,55.38,,Zenéy GELDENHUYS,22 MAY 2000,RSA,1f1,"Sola Arena, Karlstad (SWE)",04 JUL 2024,1161
53,254,55.39,,Rogail JOSEPH,22 APR 2000,RSA,1,"University of Ghana Sports Stadium, Accra (GHA)",22 MAR 2024,1161
54,254,55.39,,Jessie KNIGHT,15 JUN 1994,GBR,5h3,"Stade de France, Paris (FRA)",04 AUG 2024,1161
55,256,55.4,,Naomi VAN DEN BROECK,03 JAN 1996,BEL,1f1,"Stade du Parc de la Dodaine, Nivelles (BEL)",16 JUN 2024,1160
56,256,55.4,,Alanah YUKICH,27 JAN 1998,AUS,1,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1160
57,258,55.41,,Grace CLAXTON,19 AUG 1993,PUR,1,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1160
58,258,55.41,,Shiann SALMON,31 MAR 1999,JAM,1,"National Stadium, Kingston (JAM)",01 JUN 2024,1160
59,258,55.41,,Linda OLIVIERI,14 JUL 1998,ITA,3,"Campo Montagna, La Spezia (ITA)",30 JUN 2024,1160
60,258,55.41,,Ayomide FOLORUNSO,17 OCT 1996,ITA,1,"Centro Gabre Gabric, Brescia (ITA)",08 SEP 2024,1160
61,262,55.42,,Zenéy GELDENHUYS,22 MAY 2000,RSA,3,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1160
62,262,55.42,,Andrenette KNIGHT,19 NOV 1996,JAM,6,"Letzigrund, Zürich (SUI)",05 SEP 2024,1160
63,264,55.43,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1159
64,264,55.43,,Yasmin GIGER,06 NOV 1999,SUI,2f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1159
65,264,55.43,,Jiadie MO,06 JAN 2000,CHN,6h3,"Stade de France, Paris (FRA)",04 AUG 2024,1159
66,267,55.44,,Yasmin GIGER,06 NOV 1999,SUI,4h5,"Stade de France, Paris (FRA)",04 AUG 2024,1159
67,267,55.44,,Rebecca SARTORI,22 MAY 1997,ITA,52,"Stade de France, Paris (FRA)",05 AUG 2024,1159
68,267,55.44,,Anna RYZHYKOVA,24 NOV 1989,UKR,8,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1159
69,270,55.45,,Gabrielle MATTHEWS,14 OCT 2002,JAM,2sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1159
70,270,55.45,,Jasmine JONES,30 NOV 2001,USA,1h3,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1159
71,270,55.45,,Gianna WOODRUFF,18 NOV 1993,PAN,2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1159
72,270,55.45,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,5h4,"Stade de France, Paris (FRA)",04 AUG 2024,1159
73,274,55.46,,Hanne CLAES,04 AUG 1991,BEL,1h2,"Boudewijnstadion, Bruxelles (BEL)",29 JUN 2024,1158
74,274,55.46,,Alanah YUKICH,27 JAN 1998,AUS,7h3,"Stade de France, Paris (FRA)",04 AUG 2024,1158
75,276,55.47,,Amalie IUEL,17 APR 1994,NOR,1,"Štadión SNP, Banská Bystrica (SVK)",24 MAY 2024,1158
76,276,55.47,,Sydni TOWNSEND,17 MAR 2000,USA,9,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1158
77,276,55.47,,Sára MÁTÓ,23 DEC 2000,HUN,1f1,"Lantos Mihály Sportközpont, Budapest (HUN)",30 JUN 2024,1158
78,276,55.47,,Jessie KNIGHT,15 JUN 1994,GBR,1f2,"David Weir Leisure Centre, London (GBR)",05 JUL 2024,1158
79,280,55.48,,Alice MURARO,14 AUG 2000,ITA,63,"Stade de France, Paris (FRA)",05 AUG 2024,1158
80,281,55.49,,Sára MÁTÓ,23 DEC 2000,HUN,1,"Lantos Mihály Sportközpont, Budapest (HUN)",26 MAY 2024,1157
81,281,55.49,,Amalie IUEL,17 APR 1994,NOR,1,"Sandnes Stadion, Sandnes (NOR)",27 JUN 2024,1157
82,281,55.49,,Alanah YUKICH,27 JAN 1998,AUS,7sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1157
83,284,55.5,,Jiadie MO,06 JAN 2000,CHN,1,"Zhaoqing Sports Center, Zhaoqing (CHN)",10 APR 2024,1157
84,284,55.5,,Amalie IUEL,17 APR 1994,NOR,4,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1157
85,284,55.5,,Noura ENNADI,05 APR 1999,MAR,8sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1157
86,287,55.51,,Zenéy GELDENHUYS,22 MAY 2000,RSA,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1157
87,287,55.51,,Dalilah MUHAMMAD,07 FEB 1990,USA,2h4,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1157
88,287,55.51,,Paulien COUCKUYT,19 MAY 1997,BEL,1h1,"Boudewijnstadion, Bruxelles (BEL)",29 JUN 2024,1157
89,287,55.51,,Naomi VAN DEN BROECK,03 JAN 1996,BEL,5h1,"Stade de France, Paris (FRA)",04 AUG 2024,1157
90,291,55.52,,Deshae WISE,23 NOV 1999,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1156
91,291,55.52,,Jessie KNIGHT,15 JUN 1994,GBR,5,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1156
92,291,55.52,,Sydni TOWNSEND,17 MAR 2000,USA,3sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1156
93,291,55.52,,Elena KELETY,04 SEP 1999,GER,2f1,"Sportanlage Wisacher, Regensdorf (SUI)",24 AUG 2024,1156
94,295,55.53,,Emiliya TANGARA,12 MAR 2002,RUS,1f2,"Olympic Stadium, Cheboksary (RUS)",22 JUN 2024,1156
95,295,55.53,,Fatoumata Binta DIALLO,06 APR 2000,POR,1f2,"Estádio Cidade de Coimbra, Coimbra (POR)",30 JUN 2024,1156
96,295,55.53,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,3f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1156
97,295,55.53,,Paulien COUCKUYT,19 MAY 1997,BEL,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1156
98,299,55.54,,Jasmine JONES,30 NOV 2001,USA,1h2,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1156
99,299,55.54,,Louise MARAVAL,31 JUL 2001,FRA,7,"Letzigrund, Zürich (SUI)",05 SEP 2024,1156
0,301,55.55,,Cassandra TATE,11 SEP 1990,USA,2h5,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1156
1,301,55.55,,Emiliya TANGARA,12 MAR 2002,RUS,1f2,"Olympic Stadium, Cheboksary (RUS)",09 JUL 2024,1156
2,303,55.56,,Paulien COUCKUYT,19 MAY 1997,BEL,2f1,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1155
3,304,55.57,,Deshae WISE,23 NOV 1999,USA,1,"Pista da Universidade Federal Fluminense – UFF, Rio de Janeiro (BRA)",19 MAY 2024,1155
4,305,55.58,,Carolina KRAFZIK,27 MAR 1995,GER,1,"Elzstadion, Mosbach (GER)",09 MAY 2024,1155
5,305,55.58,,Anna RYZHYKOVA,24 NOV 1989,UKR,6,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1155
6,307,55.59,,Linda OLIVIERI,14 JUL 1998,ITA,2,"Štadión SNP, Banská Bystrica (SVK)",24 MAY 2024,1154
7,307,55.59,,Shana GREBO,09 NOV 2000,FRA,1,"Foote Field, Edmonton (CAN)",13 JUN 2024,1154
8,307,55.59,,Carolina KRAFZIK,27 MAR 1995,GER,1h2,"Eintracht-Stadion, Braunschweig (GER)",29 JUN 2024,1154
9,307,55.59,,Cassandra TATE,11 SEP 1990,USA,3,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1154
10,307,55.59,,Méta TUMBA,03 JUN 2006,FRA,1,"Estadio Atlético de la VIDENA, Lima (PER)",31 AUG 2024,1154
11,312,55.6,,Cassandra TATE,11 SEP 1990,USA,1,"Estadio Luguelín Santos, Bayaguana (DOM)",20 APR 2024,1154
12,312,55.6,,Dominique MUSTIN,25 MAR 2002,USA,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1154
13,312,55.6,,Cassandra TATE,11 SEP 1990,USA,2,"National Stadium, Kingston (JAM)",01 JUN 2024,1154
14,315,55.61,,Hanne CLAES,04 AUG 1991,BEL,1f3,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1154
15,315,55.61,,Deonca BOOKMAN,29 OCT 1995,USA,4sf2,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1154
16,315,55.61,,Hilla UUSIMÄKI,12 JUN 1996,FIN,1,"Kaarlen kenttä, Vaasa (FIN)",30 JUN 2024,1154
17,318,55.62,,Kristiina HALONEN,10 OCT 1997,FIN,3h3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1153
18,318,55.62,,Alice MURARO,14 AUG 2000,ITA,5h5,"Stade de France, Paris (FRA)",04 AUG 2024,1153
19,318,55.62,,Hanne CLAES,04 AUG 1991,BEL,2,"Centro Gabre Gabric, Brescia (ITA)",08 SEP 2024,1153
20,321,55.63,,Deshae WISE,23 NOV 1999,USA,4sf3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1153
21,321,55.63,,Jiadie MO,06 JAN 2000,CHN,9sf3,"Stade de France, Paris (FRA)",06 AUG 2024,1153
22,323,55.64,,Anna RYZHYKOVA,24 NOV 1989,UKR,5,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1153
23,323,55.64,,Eileen DEMES,13 OCT 1997,GER,5sf3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1153
24,325,55.65,,Rachel GLENN,17 APR 2002,USA,1pr1,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1152
25,325,55.65,,Lina NIELSEN,13 MAR 1996,GBR,7,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1152
26,325,55.65,,Fatoumata Binta DIALLO,06 APR 2000,POR,8,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1152
27,325,55.65,,Fatoumata Binta DIALLO,06 APR 2000,POR,4,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1152
28,325,55.65,,Anna RYZHYKOVA,24 NOV 1989,UKR,7sf2,"Stade de France, Paris (FRA)",06 AUG 2024,1152
29,330,55.66,,Paulien COUCKUYT,19 MAY 1997,BEL,6,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1152
30,331,55.67,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,3,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1152
31,331,55.67,,Jessie KNIGHT,15 JUN 1994,GBR,3f1,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1152
32,331,55.67,,Alanah YUKICH,27 JAN 1998,AUS,1,"Emory Woodruff Physical Education Center, Atlanta, GA (USA)",08 JUN 2024,1152
33,331,55.67,,Akala GARRETT,10 MAY 2005,USA,2h3,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1152
34,331,55.67,,Ronda WHYTE,06 NOV 1990,JAM,5,"National Stadium, Kingston (JAM)",28 JUN 2024,1152
35,331,55.67,,Rebecca SARTORI,22 MAY 1997,ITA,4f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1152
36,337,55.68,,Chastity PICKETT,28 DEC 2001,USA,1h2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",23 MAY 2024,1152
37,337,55.68,,Tyra WILSON,16 AUG 2002,USA,3sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1152
38,337,55.68,,Alice MURARO,14 AUG 2000,ITA,3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1152
39,337,55.68,,Jessie KNIGHT,15 JUN 1994,GBR,1h3,"Manchester Regional Arena, Manchester (GBR)",29 JUN 2024,1152
40,341,55.69,,Nikoleta JÍCHOVÁ,29 AUG 2000,CZE,4,"Stade Delort, Marseille (FRA)",22 MAY 2024,1151
41,341,55.69,,Linda ANGOUNOU,23 SEP 1992,CMR,8h3,"Stade de France, Paris (FRA)",04 AUG 2024,1151
42,343,55.7,,Chastity PICKETT,28 DEC 2001,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",29 MAR 2024,1151
43,344,55.71,,Fatoumata Binta DIALLO,06 APR 2000,POR,1f1,"Stade des Maradas, Cergy-Pontoise (FRA)",12 MAY 2024,1151
44,344,55.71,,Shani'a BELLAMY,02 FEB 2002,USA,1sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1151
45,344,55.71,,Daniela FRA,29 FEB 2000,ESP,2h2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1151
46,344,55.71,,Rogail JOSEPH,22 APR 2000,RSA,1,"Stade Omnisport de JAPOMA, Douala (CMR)",26 JUN 2024,1151
47,348,55.72,,Lauren HOFFMAN,30 MAR 1999,PHI,2,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1150
48,348,55.72,,Savannah SUTHERLAND,07 AUG 2003,CAN,1h1,"University of Michigan Outdoor Track Stadium, Ann Arbor, MI (USA)",10 MAY 2024,1150
49,348,55.72,,Portia BING,17 APR 1993,NZL,1f3,"Yanmar Stadium Nagai, Osaka (JPN)",12 MAY 2024,1150
50,348,55.72,,Akala GARRETT,10 MAY 2005,USA,1h1,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1150
51,348,55.72,,Noura ENNADI,05 APR 1999,MAR,1h1,"Stade Omnisport de JAPOMA, Douala (CMR)",25 JUN 2024,1150
52,348,55.72,,Sydni TOWNSEND,17 MAR 2000,USA,2h2,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1150
53,354,55.73,,Daniela FRA,29 FEB 2000,ESP,2,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1150
54,354,55.73,,Linda OLIVIERI,14 JUL 1998,ITA,4,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1150
55,354,55.73,,Paulien COUCKUYT,19 MAY 1997,BEL,3h2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1150
56,357,55.74,,Janieve RUSSELL,14 NOV 1993,JAM,5,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1150
57,358,55.75,,Abbey GLYNN,30 APR 2001,USA,8,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1149
58,358,55.75,,Ayomide FOLORUNSO,17 OCT 1996,ITA,4,"Campo Montagna, La Spezia (ITA)",30 JUN 2024,1149
59,360,55.76,,Paulien COUCKUYT,19 MAY 1997,BEL,5,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1149
60,361,55.77,,Dalilah MUHAMMAD,07 FEB 1990,USA,5,"National Stadium, Kingston (JAM)",11 MAY 2024,1149
61,361,55.77,,Ronda WHYTE,06 NOV 1990,JAM,3h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1149
62,363,55.78,,Jessica WRIGHT,26 MAR 2000,USA,3,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1148
63,363,55.78,,Amalie IUEL,17 APR 1994,NOR,1f1,"Malmö Stadion, Malmö (SWE)",18 MAY 2024,1148
64,363,55.78,,Dalilah MUHAMMAD,07 FEB 1990,USA,4,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1148
65,363,55.78,,Shani'a BELLAMY,02 FEB 2002,USA,9,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1148
66,363,55.78,,Linda OLIVIERI,14 JUL 1998,ITA,4,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1148
67,363,55.78,,Noura ENNADI,05 APR 1999,MAR,4,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1148
68,369,55.79,,Yasmin GIGER,06 NOV 1999,SUI,1f1,"Sportanlage Neudorf, St. Gallen (SUI)",25 MAY 2024,1148
69,370,55.8,,Hilla UUSIMÄKI,12 JUN 1996,FIN,1,"Harjun stadion, Jyväskylä (FIN)",22 MAY 2024,1148
70,370,55.8,,Sydni TOWNSEND,17 MAR 2000,USA,2h3,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1148
71,372,55.81,,Deshae WISE,23 NOV 1999,USA,1,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",15 MAY 2024,1147
72,372,55.81,,Viivi LEHIKOINEN,27 AUG 1999,FIN,6,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1147
73,372,55.81,,Fatoumata Binta DIALLO,06 APR 2000,POR,5,"Stade Delort, Marseille (FRA)",22 MAY 2024,1147
74,372,55.81,,Fatoumata Binta DIALLO,06 APR 2000,POR,4h3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1147
75,372,55.81,,Rebecca SARTORI,22 MAY 1997,ITA,6h1,"Stade de France, Paris (FRA)",04 AUG 2024,1147
76,377,55.82,,Gabrielle MATTHEWS,14 OCT 2002,JAM,2h1,"Percy Beard Track, Gainesville, FL (USA)",09 MAY 2024,1147
77,377,55.82,,Janieve RUSSELL,14 NOV 1993,JAM,6,"National Stadium, Kingston (JAM)",11 MAY 2024,1147
78,379,55.83,,Anna RYZHYKOVA,24 NOV 1989,UKR,1,"Centro Sportivo Fontanassa, Savona (ITA)",15 MAY 2024,1147
79,379,55.83,,Paulien COUCKUYT,19 MAY 1997,BEL,1f2,"Bungertstadion, Rehlingen (GER)",19 MAY 2024,1147
80,379,55.83,,Kristiina HALONEN,10 OCT 1997,FIN,7sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1147
81,379,55.83,,Daniela LEDECKÁ,04 NOV 1996,SVK,8sf1,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1147
82,379,55.83,,Kristiina HALONEN,10 OCT 1997,FIN,2,"Kaarlen kenttä, Vaasa (FIN)",30 JUN 2024,1147
83,384,55.84,,Lauren HOFFMAN,30 MAR 1999,PHI,5,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1147
84,384,55.84,,Yasmin GIGER,06 NOV 1999,SUI,2f3,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1147
85,386,55.85,,Noura ENNADI,05 APR 1999,MAR,2,"University of Ghana Sports Stadium, Accra (GHA)",22 MAR 2024,1146
86,386,55.85,,Dalilah MUHAMMAD,07 FEB 1990,USA,3,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1146
87,388,55.86,,Akala GARRETT,10 MAY 2005,USA,1pr5,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1146
88,388,55.86,,Sage WALKER,20 JUN 1994,CAN,2,"The Bahamas National Stadium, Nassau (BAH)",16 JUN 2024,1146
89,390,55.87,,Yingying KONG,22 MAR 2003,CHN,1,"Sports Center, Quzhou (CHN)",16 SEP 2024,1146
90,391,55.88,,Chastity PICKETT,28 DEC 2001,USA,1,"Elon University’s Irwin Belk Track, Elon, NC (USA)",11 MAY 2024,1145
91,391,55.88,,Jessica WRIGHT,26 MAR 2000,USA,5sf3,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1145
92,391,55.88,,Ayomide FOLORUNSO,17 OCT 1996,ITA,1h3,"Campo Montagna, La Spezia (ITA)",29 JUN 2024,1145
93,394,55.89,,Moa GRANAT,08 AUG 2004,SWE,6sf3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1145
94,394,55.89,,Rebecca SARTORI,22 MAY 1997,ITA,1,"Parc des Sports C. Ehrmann, Nice (FRA)",15 JUN 2024,1145
95,394,55.89,,Tia-Adana BELLE,15 JUN 1996,BAR,1,"Usain Bolt Complex, Bridgetown (BAR)",23 JUN 2024,1145
96,397,55.9,,Grace CLAXTON,19 AUG 1993,PUR,2,"Pista da Universidade Federal Fluminense – UFF, Rio de Janeiro (BRA)",19 MAY 2024,1145
97,397,55.9,,Paulien COUCKUYT,19 MAY 1997,BEL,3,"Centro Gabre Gabric, Brescia (ITA)",08 SEP 2024,1145
98,399,55.91,,Louise MARAVAL,31 JUL 2001,FRA,4f1,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1144
99,399,55.91,,Shani'a BELLAMY,02 FEB 2002,USA,3h5,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1144
0,401,55.92,,Lauren HOFFMAN,30 MAR 1999,PHI,1,"Philsport Track Oval, Pasig (PHI)",10 MAY 2024,1144
1,401,55.92,,Simone WATKINS,26 MAR 2001,USA,1sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1144
2,401,55.92,,Paulien COUCKUYT,19 MAY 1997,BEL,3f3,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1144
3,401,55.92,,Rogail JOSEPH,22 APR 2000,RSA,2h1,"Stade Omnisport de JAPOMA, Douala (CMR)",25 JUN 2024,1144
